TotMean,ModDepth,StandardScore,Rayleigh,ModFreq,Age,Scaled,ScaledZ
45.3322118824665,0,2.27930306489367,302.220509418352,128,1,1,1
43.3322588869117,-2.5,2.1507911444344,309.949732189345,128,1,0.955882298425232,0.943617888099813
31.5992191507659,-6,1.396855690617,161.242427021596,128,1,0.697058842676676,0.61284333449627
19.7328465475856,-12,0.634352604039721,12.1047406578792,128,1,0.435294147983498,0.27830989823607
25.0660454374206,-18,0.977050473963329,6.9154374408694,128,1,0.552941151479874,0.428661940139543
20.132834722364,-24,0.660054832350096,6.46297829902254,128,1,0.444117634819203,0.289586252270006
20.532825185848,-30,0.685757207726903,2.11309795845972,128,1,0.452941172142311,0.300862670826485
31.7325487542759,0,2.83032247973633,153.355793954553,256,1,1,1
27.1993255782461,-2.5,2.35033178013427,166.666416090547,256,1,0.857142796466389,0.830411303645237
21.0661463971947,-6,1.70093314000909,57.9452249013369,256,1,0.663865564670599,0.600967964670778
18.7995363137918,-12,1.4609379495207,23.7589011688087,256,1,0.592437010319209,0.516173672781203
14.3996435889407,-18,0.995064661317646,0.807192873831421,256,1,0.453781500516889,0.351572892644496
16.1329336053496,-24,1.17859039020489,3.20011109832894,256,1,0.508403334704583,0.416415584670297
18.3995451721728,-30,1.41858573776208,0.558537900582927,256,1,0.579831935803566,0.501209932054893
22.1327857682807,0,5.7821015637292,128.232152252866,8,1,1,1
20.6661542383732,-2.5,5.37807998910691,144.277327718292,8,1,0.933734887905104,0.930125479435246
18.266215102445,-6,4.71695470376917,81.136634366057,8,1,0.825301220265865,0.815785515314772
14.6663050422828,-12,3.72526640214294,36.2779572455755,8,1,0.662650657528234,0.64427550451748
11.8663728998644,-18,2.95395270136165,13.5060047105988,8,1,0.536144569603638,0.510878729611328
9.99975230512639,-24,2.43974379712785,6.52876924854581,8,1,0.45180721531482,0.421947586052834
9.33310250747216,-30,2.25609787415572,5.3718214321246,8,1,0.42168675037951,0.390186483113353
24.1327362632127,0,4.4871921891192,19.3694904290155,128,1,1,1
23.8660748946375,-2.5,4.43242008847474,18.6593502972573,128,1,0.988950222400528,0.98779368069474
19.8661754729606,-6,3.61084291416429,4.56384537307638,128,1,0.823204433027516,0.804699857278247
16.1329350463865,-12,2.84403735298833,4.87169435270277,128,1,0.668508322903237,0.633812244522246
13.3330033701859,-18,2.26893290352925,5.77986543870637,128,1,0.552486184109606,0.505646472872521
14.2663133072957,-24,2.4606342590011,3.55317274662213,128,1,0.591160204615623,0.548368368301181
13.3330035397197,-30,2.26893293835139,0.234522583123329,128,1,0.552486191134659,0.505646480632862
13.5996639334758,0,4.51742930401238,131.374587857138,16,1,0.927272805298716,0.922756805730812
14.6663030078778,-2.5,4.8955795025913,128.951678816958,16,1,1,1
10.7997332320943,-6,3.52478392269793,78.3116253494614,16,1,0.736363705720071,0.719993194029881
7.99980274262997,-12,2.5321386165134,39.6402664652482,16,1,0.545454620590683,0.517229597675435
6.93316159143961,-18,2.15398768166112,15.1565377556348,16,1,0.472727284286678,0.439986253010697
6.13318142737355,-24,1.87037472845069,5.3892216302423,16,1,0.418181829741224,0.382053795155543
6.93316184574023,-30,2.15398777181704,3.37249685837967,16,1,0.472727301625787,0.439986271426479
15.1996241344577,0,7.23804071589481,16.1006622664881,64,1,1,1
14.3996429531891,-2.5,6.84603353268934,8.90991009156953,64,1,0.947368357652017,0.945840704882383
11.0663929900989,-6,5.2126726992773,3.14702659622122,64,1,0.72807017411775,0.720177310944137
9.33310310084028,-12,4.36332511076356,0.0271040732933788,64,1,0.61403512470299,0.60283235229413
6.53317146702314,-18,2.99130119490083,1.76899851695039,64,1,0.429824541003774,0.413274988676411
4.93321113889102,-24,2.20728782539003,2.88826862317805,64,1,0.32456139015355,0.30495653617184
5.8665214150683,-30,2.66462899914217,1.1786895170086,64,1,0.385964900393086,0.368142305871617
48.1321430500658,0,23.3756690487992,468.641737206802,16,1,0.973045886364621,0.972810225273978
49.4654401447515,-2.5,24.0290124851594,447.951520155773,16,1,1,1
44.1322422721189,-6,21.415634087514,343.932342459999,16,1,0.892183353528728,0.891240707488103
32.2658707285245,-12,15.600864076898,142.232195756989,16,1,0.652291188233733,0.649251153643258
28.3992968415477,-18,13.7061620781257,56.7495611505834,16,1,0.574124009782231,0.570400555852669
29.0659468087356,-24,14.0328344920596,19.1655067177018,16,1,0.587601095303701,0.583995472170419
27.199327315967,-30,13.1181519365785,28.4586750273841,16,1,0.549865264240512,0.54592971495106
40.3990008707257,0,19.586267792732,26.3055164714107,512,1,0.883381980731496,0.882278363804024
45.7321993791098,-2.5,22.1996465019091,11.2076972014737,512,1,1,1
42.9322719412529,-6,20.8276235513602,15.4750635501326,512,1,0.938775578785396,0.938196180266617
38.6657127615714,-12,18.7369204012534,0.0334898937303217,512,1,0.845481155214976,0.844018863077039
33.5991679079771,-18,16.2542075547958,3.6539588789183,512,1,0.734693899793609,0.73218317027697
32.9325175593382,-24,15.927534953943,0.427797089536864,512,1,0.720116635684517,0.717467953941216
33.06584928202,-30,15.9928702840956,0.219361867439412,512,1,0.723032124650542,0.720411033694625
78.1314011945646,0,29.8336396246878,618.160025729561,16,1,1,1
71.9982147659455,-2.5,27.4701325493572,621.264190584247,16,1,0.921501645499149,0.920777112512456
69.9982690179584,-6,26.6994261668498,537.889353122804,16,1,0.895904437239607,0.894943644246329
55.5986283958583,-12,21.1503281753489,257.402955198099,16,1,0.711604137975272,0.708942269244502
49.9987616951657,-18,18.9923431341254,82.5857019284874,16,1,0.639931716707059,0.636608317759825
